Time,Date time,Elevation (ft),Elevation (m)
2025-12-09T08:00:00Z,12/9/2025 8:00,158.99,48.46015045
2025-12-10T08:00:00Z,12/10/2025 8:00,158.76,48.39004645
2025-12-11T08:00:00Z,12/11/2025 8:00,159.06,48.48148645
2025-12-12T08:00:00Z,12/12/2025 8:00,159.02,48.46929445
2025-12-13T08:00:00Z,12/13/2025 8:00,158.92,48.43881445
2025-12-14T08:00:00Z,12/14/2025 8:00,157.81,48.10048646
2025-12-15T08:00:00Z,12/15/2025 8:00,157.87,48.11877446
2025-12-16T08:00:00Z,12/16/2025 8:00,158.37,48.27117446
2025-12-17T08:00:00Z,12/17/2025 8:00,158.4,48.28031846
2025-12-18T08:00:00Z,12/18/2025 8:00,158.56,48.32908645
2025-12-19T08:00:00Z,12/19/2025 8:00,157.64,48.04867046
2025-12-20T08:00:00Z,12/20/2025 8:00,158.79,48.39919045
2025-12-21T08:00:00Z,12/21/2025 8:00,158.63,48.35042245
2025-12-22T08:00:00Z,12/22/2025 8:00,158.66,48.35956645
2025-12-23T08:00:00Z,12/23/2025 8:00,158.46,48.29860645
2025-12-24T08:00:00Z,12/24/2025 8:00,158.4,48.28031846
2025-12-25T08:00:00Z,12/25/2025 8:00,157.94,48.14011046
2025-12-26T08:00:00Z,12/26/2025 8:00,158.17,48.21021446
2025-12-27T08:00:00Z,12/27/2025 8:00,158.17,48.21021446
2025-12-28T08:00:00Z,12/28/2025 8:00,157.94,48.14011046
2025-12-29T08:00:00Z,12/29/2025 8:00,158.17,48.21021446
2025-12-30T08:00:00Z,12/30/2025 8:00,158.6,48.34127845
